"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","success","timeout","failed_images","failed_audio","failed_video","rt","url","responses","question_order","stimulus","key_press","response"
"pavlovia","0","17","0.0-0.0","21","Low_HMMActual","","","","","","","","","","","",""
"preload","1","19","0.0-1.0","21","Low_HMMActual","true","false","[]","[]","[]","","","","","","",""
"external-html","2","38840","0.0-2.0-0.0","21","Low_HMMActual","","","","","","38563.89999999851","consent.html","","","","",""
"survey-multi-choice","3","46618","0.0-2.0-1.0","21","Low_HMMActual","","","","","","7774.799999998882","","{""Q0"":""Male"",""Q1"":""Hispanic or Latino""}","[0,1]","","",""
"survey-text","4","49585","0.0-2.0-2.0","21","Low_HMMActual","","","","","","2963.300000000745","","{""Q0"":""24""}","","","",""
"survey-text","5","61419","0.0-2.0-3.0","21","Low_HMMActual","","","","","","11730.199999999255","","{""Q0"":""5e9d28cb23881d258d89cee9""}","","","",""
"image-keyboard-response","6","101893","0.0-3.0-0.0","21","Low_HMMActual","","","","","","40370.800000000745","","","","tutorial/tutorial1.png"," ",""
"image-keyboard-response","7","110060","0.0-3.0-0.1","21","Low_HMMActual","","","","","","8166.800000000745","","","","tutorial/tutorial2.png"," ",""
"image-keyboard-response","8","114883","0.0-3.0-0.2","21","Low_HMMActual","","","","","","4822.5","","","","tutorial/tutorial3.png"," ",""
"image-keyboard-response","9","119031","0.0-3.0-0.3","21","Low_HMMActual","","","","","","4147.200000001118","","","","tutorial/tutorial4.png"," ",""
"image-keyboard-response","10","121633","0.0-3.0-0.4","21","Low_HMMActual","","","","","","2601.4000000003725","","","","tutorial/tutorial5.png"," ",""
"image-keyboard-response","11","132751","0.0-3.0-0.5","21","Low_HMMActual","","","","","","11116.5","","","","tutorial/tutorial6.png"," ",""
"image-keyboard-response","12","138527","0.0-3.0-0.6","21","Low_HMMActual","","","","","","5775.199999999255","","","","tutorial/tutorial7.png"," ",""
"image-keyboard-response","13","163964","0.0-3.0-0.7","21","Low_HMMActual","","","","","","25436.299999998882","","","","tutorial/tutorial8.png"," ",""
"image-keyboard-response","14","183783","0.0-3.0-0.8","21","Low_HMMActual","","","","","","19817.5","","","","tutorial/tutorial9.png"," ",""
"image-keyboard-response","15","192244","0.0-3.0-0.9","21","Low_HMMActual","","","","","","8460.300000000745","","","","tutorial/tutorial10.png"," ",""
"image-keyboard-response","16","203925","0.0-3.0-0.10","21","Low_HMMActual","","","","","","11680.39999999851","","","","tutorial/tutorial11.png"," ",""
"image-keyboard-response","17","214152","0.0-3.0-0.11","21","Low_HMMActual","","","","","","10226.099999999627","","","","tutorial/tutorial12.png"," ",""
"image-keyboard-response","18","233833","0.0-3.0-0.12","21","Low_HMMActual","","","","","","19680.299999998882","","","","tutorial/tutorial13.png"," ",""
"image-keyboard-response","19","244937","0.0-3.0-0.13","21","Low_HMMActual","","","","","","11103.599999999627","","","","tutorial/tutorial14.png"," ",""
"image-keyboard-response","20","248058","0.0-3.0-0.14","21","Low_HMMActual","","","","","","3120","","","","tutorial/tutorial15.png"," ",""
"image-keyboard-response","21","268505","0.0-4.0","21","Low_HMMActual","","","","","","20446.400000000373","","","","tutorial/tutorial16.png","arrowup",""
"image-keyboard-response","22","292473","0.0-5.0","21","Low_HMMActual","","","","","","19665","","","","tutorial/tutorial17.png","arrowright",""
"image-keyboard-response","23","297978","0.0-6.0","21","Low_HMMActual","","","","","","3528.0999999996275","","","","tutorial/tutorial18.png","arrowleft",""
"image-keyboard-response","24","331854","0.0-7.0","21","Low_HMMActual","","","","","","32522.300000000745","","","","tutorial/tutorial19.png"," ",""
"html-keyboard-response","25","339418","0.0-8.0","22","Low_HMMActual","","","","","","7561.700000001118","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>"," ",""
"image-button-response","26","350602","0.0-9.0-0.0","22","Low_HMMActual","","","","","","11180.400000000373","","","","Images/NoChoice.png","","0"
"image-button-response","27","350905","0.0-9.0-1.0","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","28","351408","0.0-9.0-2.0","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","29","356242","0.0-9.0-0.1","22","Low_HMMActual","","","","","","4832.300000000745","","","","Images/NewTrialBC.png","","0"
"image-button-response","30","356545","0.0-9.0-1.1","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","31","357047","0.0-9.0-2.1","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","32","358075","0.0-9.0-0.2","22","Low_HMMActual","","","","","","1025.5","","","","Images/NewTrialBC.png","","0"
"image-button-response","33","358377","0.0-9.0-1.2","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","34","358879","0.0-9.0-2.2","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","35","362091","0.0-9.0-0.3","22","Low_HMMActual","","","","","","3210.5","","","","Images/NewTrialWC.png","","0"
"image-button-response","36","362395","0.0-9.0-1.3","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","37","362896","0.0-9.0-2.3","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","38","363139","0.0-9.0-0.4","22","Low_HMMActual","","","","","","241.09999999962747","","","","Images/NewTrialBC.png","","0"
"image-button-response","39","363445","0.0-9.0-1.4","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","40","363951","0.0-9.0-2.4","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","41","364587","0.0-9.0-0.5","22","Low_HMMActual","","","","","","635","","","","Images/NewTrialBC.png","","0"
"image-button-response","42","364889","0.0-9.0-1.5","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","43","365396","0.0-9.0-2.5","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","44","365892","0.0-9.0-0.6","22","Low_HMMActual","","","","","","493.7999999988824","","","","Images/NewTrialBC.png","","0"
"image-button-response","45","366195","0.0-9.0-1.6","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","46","366697","0.0-9.0-2.6","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","47","367132","0.0-9.0-0.7","22","Low_HMMActual","","","","","","432.59999999962747","","","","Images/NewTrialBC.png","","0"
"image-button-response","48","367436","0.0-9.0-1.7","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","49","367938","0.0-9.0-2.7","22","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
