"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","success","timeout","failed_images","failed_audio","failed_video","rt","url","responses","question_order","stimulus","key_press"
"pavlovia","0","3","0.0-0.0","21","Low_HMMActual","","","","","","","","","","",""
"preload","1","4","0.0-1.0","21","Low_HMMActual","true","false","[]","[]","[]","","","","","",""
"external-html","2","1013208","0.0-2.0-0.0","21","Low_HMMActual","","","","","","1013143.900000006","consent.html","","","",""
"survey-multi-choice","3","1018343","0.0-2.0-1.0","21","Low_HMMActual","","","","","","5134.5","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","",""
"survey-text","4","1021007","0.0-2.0-2.0","21","Low_HMMActual","","","","","","2660.100000023842","","{""Q0"":""29""}","","",""
"survey-text","5","1025488","0.0-2.0-3.0","21","Low_HMMActual","","","","","","4372.5999999940395","","{""Q0"":""5ec98e275583f34a98a9a956""}","","",""
"image-keyboard-response","6","1037231","0.0-3.0-0.0","21","Low_HMMActual","","","","","","11641.899999976158","","","","tutorial/tutorial1.png"," "
"image-keyboard-response","7","1039463","0.0-3.0-0.1","21","Low_HMMActual","","","","","","2231","","","","tutorial/tutorial2.png"," "
"image-keyboard-response","8","1040999","0.0-3.0-0.2","21","Low_HMMActual","","","","","","1535.6000000238419","","","","tutorial/tutorial3.png"," "
"image-keyboard-response","9","1041647","0.0-3.0-0.3","21","Low_HMMActual","","","","","","647.6999999880791","","","","tutorial/tutorial4.png"," "
"image-keyboard-response","10","1042119","0.0-3.0-0.4","21","Low_HMMActual","","","","","","471.59999999403954","","","","tutorial/tutorial5.png"," "
"image-keyboard-response","11","1042591","0.0-3.0-0.5","21","Low_HMMActual","","","","","","471.59999999403954","","","","tutorial/tutorial6.png"," "
"image-keyboard-response","12","1042831","0.0-3.0-0.6","21","Low_HMMActual","","","","","","239.69999998807907","","","","tutorial/tutorial7.png"," "
"image-keyboard-response","13","1043007","0.0-3.0-0.7","21","Low_HMMActual","","","","","","175.5","","","","tutorial/tutorial8.png"," "
"image-keyboard-response","14","1043215","0.0-3.0-0.8","21","Low_HMMActual","","","","","","207.60000002384186","","","","tutorial/tutorial9.png"," "
"image-keyboard-response","15","1043471","0.0-3.0-0.9","21","Low_HMMActual","","","","","","255.59999999403954","","","","tutorial/tutorial10.png"," "
"image-keyboard-response","16","1044559","0.0-3.0-0.10","21","Low_HMMActual","","","","","","1087.699999988079","","","","tutorial/tutorial11.png"," "
"image-keyboard-response","17","1044807","0.0-3.0-0.11","21","Low_HMMActual","","","","","","247.5","","","","tutorial/tutorial12.png"," "
"image-keyboard-response","18","1045031","0.0-3.0-0.12","21","Low_HMMActual","","","","","","223.60000002384186","","","","tutorial/tutorial13.png"," "
"image-keyboard-response","19","1045223","0.0-3.0-0.13","21","Low_HMMActual","","","","","","191.5","","","","tutorial/tutorial14.png"," "
"image-keyboard-response","20","1045415","0.0-3.0-0.14","21","Low_HMMActual","","","","","","191.80000001192093","","","","tutorial/tutorial15.png"," "
