Subject,Trial,Jar,Bead,Response,Confidence,Correct,History
5ebd,10,0,1,0,0,0,00011101101
5ebd,11,0,0,1,1,0,00111011011
5ebd,12,0,0,0,1,1,01110110110
5ebd,13,1,0,0,1,1,01101101100
5ebd,14,0,1,0,1,0,01011011000
5ebd,15,0,1,1,1,1,00110110001
5ebd,16,0,0,1,1,0,01101100011
5ebd,17,0,1,0,1,0,01011000110
5ebd,18,0,0,1,1,0,00110001101
5ebd,19,0,0,0,1,1,01100011010
5ebd,20,0,0,0,1,1,01000110100
5ebd,21,1,1,0,1,0,00001101000
5ebd,22,1,1,1,1,1,00011010001
5ebd,23,1,1,1,1,1,00110100011
5ebd,24,1,1,1,1,1,01101000111
5ebd,25,1,1,1,1,1,01010001111
5ebd,26,1,1,1,1,1,00100011111
5ebd,27,1,1,1,1,1,01000111111
5ebd,28,1,0,1,1,0,00001111111
5ebd,29,1,1,0,1,0,00011111110
5ebd,30,1,1,1,1,1,00111111101
5ebd,31,1,0,1,1,0,01111111011
5ebd,32,1,1,0,1,0,01111110110
5ebd,33,1,1,1,1,1,01111101101
5ebd,34,1,1,1,1,1,01111011011
5ebd,35,1,1,1,1,1,01110110111
5ebd,36,1,1,1,1,1,01101101111
5ebd,37,1,0,1,1,0,01011011111
5ebd,38,1,1,0,1,0,00110111110
5ebd,39,0,0,1,1,0,01101111101
5ebd,40,0,0,0,1,1,01011111010
5ebd,41,0,0,0,1,1,00111110100
5ebd,42,0,0,0,1,1,01111101000
5ebd,43,0,0,0,1,1,01111010000
5ebd,44,0,1,0,1,0,01110100000
5ebd,45,0,0,1,1,0,01101000001
5ebd,46,0,0,0,1,1,01010000010
5ebd,47,0,0,0,1,1,00100000100
5ebd,48,1,1,0,1,0,01000001000
5ebd,49,1,1,0,0,0,00000010001
5ebd,50,0,0,1,1,0,00000100011
5ebd,51,0,0,0,1,1,00001000110
5ebd,52,0,1,0,1,0,00010001100
5ebd,53,0,0,1,1,0,00100011001
5ebd,54,0,0,0,1,1,01000110010
5ebd,55,0,1,0,1,0,00001100100
5ebd,56,0,0,0,1,1,00011001001
5ebd,57,0,0,0,1,1,00110010010
5ebd,58,1,0,0,1,1,01100100100
5ebd,59,1,1,0,1,0,01001001000
5ebd,60,1,1,1,1,1,00010010001
5ebd,61,1,1,1,1,1,00100100011
5ebd,62,1,1,1,1,1,01001000111
5ebd,63,1,1,1,1,1,00010001111
5ebd,64,1,1,1,1,1,00100011111
5ebd,65,1,1,1,1,1,01000111111
5ebd,66,1,1,1,1,1,00001111111
5ebd,67,1,1,1,1,1,00011111111
5ebd,68,1,1,1,1,1,00111111111
5ebd,69,1,1,1,1,1,01111111111
5ebd,70,1,0,1,1,0,01111111111
5ebd,71,1,1,0,1,0,01111111110
5ebd,72,1,1,1,1,1,01111111101
5ebd,73,1,1,1,1,1,01111111011
5ebd,74,1,0,1,1,0,01111110111
5ebd,75,1,1,0,1,0,01111101110
5ebd,76,1,1,1,1,1,01111011101
5ebd,77,1,0,1,1,0,01110111011
5ebd,78,1,1,0,1,0,01101110110
5ebd,79,1,1,1,1,1,01011101101
5ebd,80,1,1,1,1,1,00111011011
5ebd,81,1,0,1,1,0,01110110111
5ebd,82,1,0,0,1,1,01101101110
5ebd,83,1,1,0,1,0,01011011100
5ebd,84,1,1,1,1,1,00110111001
5ebd,85,0,1,1,1,1,01101110011
5ebd,86,0,0,1,1,0,01011100111
5ebd,87,1,0,0,1,1,00111001110
5ebd,88,1,1,0,1,0,01110011100
5ebd,89,1,1,1,1,1,01100111001
5ebd,90,1,1,1,1,1,01001110011
5ebd,91,1,1,1,1,1,00011100111
5ebd,92,1,1,1,1,1,00111001111
