FullSubject,Subject,Gender,Age,Ethnicity,Correct,Confidence
60b610d8c3c4f177c8337729,60b610d8,Male,36,White,0.654,0.655
5929e024943e670001cde06b,5929e024,Female,28,White,0.593,0.51
613cb9a1ccf4ca3a5150522e,613cb9a1,Male,23,White,0.626,0.516
60c13bce0d8616e48d044bd0,60c13bce,Male,26,White,0.653,0.645
603e5aad160c3ee04e07e8d3,603e5aad,Male,26,White,0.625,0.611
6125082992be0cc689b6f8ba,61250829,Female,21,Other,0.61,0.628
5f23059ab07e8c06aeb696e2,5f23059a,Male,26,White,0.6,0.893
6110a43a95a10cdd65d8c6e4,6110a43a,Transgender,37,Hispanic or Latino,0.637,0.508
5f61578829b2480f4a57565a,5f615788,Female,22,White,0.602,0.613
6153b5513ccada2d35fae508,6153b551,Male,31,White,0.623,0.457
5a84b912000dab00018c98a9,5a84b912,Male,22,White,0.628,0.556
60d70c9a87b278547b2988ef,60d70c9a,Male,23,White,0.616,0.695
5f40375e3765541584f7a30e,5f40375e,Male,23,Hispanic or Latino,0.618,0.593
5f439ac86b921f5fac4f55ad,5f439ac8,Male,20,White,0.626,0.524
60b8b246724192f75f1bde20,60b8b246,Female,22,White,0.637,0.738
5fc67d0d734f6e02dc70bb86,5fc67d0d,Male,18,White,0.647,0.732
6032a88a2b8e882a37cc2766,6032a88a,Female,46,Hispanic or Latino,0.575,0.507
61081bcfbdc84d0081dcc656,61081bcf,Female,33,Asian,0.631,0.865
5d8272296cca0b001759f562,5d827229,Female,38,White,0.623,0.569
613ad089983f33fc8194d601,613ad089,Do Not Wish To Say,23,Hispanic or Latino,0.608,0.473
610d57d6edc4728a09f5039b,610d57d6,Transgender,20,White,0.625,0.77
5f0a9094da2883360c73fd9f,5f0a9094,Male,22,Hispanic or Latino,0.637,0.633
5f4f9deca0830d07329e0efa,5f4f9dec,Female,30,White,0.616,0.456
5fa45dc96da3af0b7dcba9a8,5fa45dc9,Male,42,White,0.578,0.677
6036561ca47c5c102c25eeff,6036561c,Male,31,White,0.622,0.675
